PN結	PN接面 PN結
字符串	字串 字符串
字符集	字符集 字符集
字節	位元組 字節
字體	字型 字體
存儲	儲存 存儲
存盤	存檔 存盤
宏	宏 巨集 宏
宏內核	單核心 宏內核
寄存器	暫存器 寄存器
密鑰	金鑰 密鑰
實例	例項 實例 實例
實模式	真實模式 實模式
審核	稽核 審核
審覈	稽覈 審覈
寫保護	防寫 寫保護
寬帶	寬頻 寬帶
尋址	定址 尋址
對話框	對話方塊 對話框
對象	物件 對象 對象
導入	匯入 導入
導出	匯出 導出
局域網	區域網 局域網
局部	區域性 局部
屏幕	螢幕 屏幕
屏蔽	遮蔽 屏蔽
嵌套	巢狀 嵌套
布爾	布林 布爾
帶寬	頻寬 帶寬
引導程序	載入程式 引導程序
彙編	彙編 組譯 彙編
彙編語言	組合語言 彙編語言
後綴	字尾 後綴
循環	迴圈 循環 循環
性價比	價效比 性價比
性能	效能 性能
截取	擷取 截取
截屏	截圖 截屏
打印	列印 打印
打印機	印表機 打印機
打開	開啟 打開 打開
批量	批次 批量
拋出	丟擲 拋出
拷貝	複製 拷貝
持久性	永續性 持久性
指針	指標 指針
捲積	摺積 捲積
掃描儀	掃描器 掃描儀
掛斷	結束通話 掛斷
採樣	取樣 採樣
採樣率	取樣率 採樣率
接口	介面 接口
控件	控制元件 控件
插件	外掛 插件
搜索	搜尋 搜索
操作數	運算元 操作數
操作符	運算子 操作符
操作系統	作業系統 操作系統
擴展	擴充套件 擴展
擴展名	副檔名 擴展名
支持	支援 支持
支持者	支持者 支持者
散列	雜湊 散列
數字	數字 數位 數字
數字印刷	數位印刷 數字印刷
數字電子	數位電子 數字電子
數字電路	數位電路 數字電路
數據	資料 數據
數據倉庫	資料倉儲 數據倉庫
數據報	資料包 數據報
數據庫	資料庫 數據庫
數據挖掘	資料探勘 數據挖掘
數據源	資料來源 數據源
數組	陣列 數組
文件	檔案 文件
文件名	檔名 文件名
文件夾	資料夾 文件夾
文件擴展名	副檔名 文件擴展名
文字處理	文書處理 文字處理
文本	文字 文本
文檔	文件 文檔
映射	對映 映射
時分多址	分時多重進接 時分多址
時分複用	分時多工 時分複用
時鐘頻率	時脈頻率 時鐘頻率
晶閘管	閘流體 晶閘管
晶體管	電晶體 晶體管
智能	智慧 智能
最終用戶	終端使用者 最終用戶
有損壓縮	有失真壓縮 有損壓縮
服務器	伺服器 服務器
本地代碼	原生代碼 本地代碼
析構函數	解構函式 析構函數
枚舉	列舉 枚舉
查找	查詢 查找
查看	檢視 查看
桌面型	桌上型 桌面型
構造函數	建構函式 構造函數
標識符	識別符號 標識符
模塊	模組 模塊
模擬	模擬 類比 模擬
模擬電子	類比電子 模擬電子
模擬電路	類比電路 模擬電路
權限	許可權 權限
正則表達式	正規表示式 正則表達式
死機	宕機 死機
殺毒	防毒 殺毒
比特	位元 比特
比特幣	比特幣 比特幣
比特率	位元率 比特率
波分複用	波長分波多工 波分複用
消息	訊息 消息 消息
添加	新增 添加
源代碼	原始碼 源代碼
源文件	原始檔 源文件
源碼	原始碼 源碼
溢出	溢位 溢出
滾動條	捲軸 滾動條
演示文稿	簡報 演示文稿
激光	鐳射 激光
激活	啟用 激活
無損壓縮	無失真壓縮 無損壓縮
物理內存	實體記憶體 物理內存
物理地址	實體地址 物理地址
狀態欄	狀態列 狀態欄
用戶	使用者 用戶
用戶名	使用者名稱 用戶名
界面	介面 界面
異步	非同步 異步
登錄	登入 登錄
發佈	釋出 發佈
發送	傳送 發送
盤片	碟片 盤片
盤符	磁碟機代號 盤符
目標代碼	目的碼 目標代碼
相冊	相簿 相冊
矢量	向量 矢量
知識產權	智慧財產權 知識產權
短信	簡訊 短信
硬件	硬體 硬件
硬盤	硬碟 硬盤
碼分多址	分碼多重進接 碼分多址
碼率	位元速率 碼率
磁盤	磁碟 磁盤
磁道	磁軌 磁道
社區	社群 社區 社區
移動硬盤	行動硬碟 移動硬盤
移動網絡	行動網路 移動網絡
移動資料	行動資料 移動資料
移動通信	行動通訊 移動通信
移動電話	行動電話 移動電話
程序	程式 程序
程序員	程式設計師 程序員
空分多址	分空間多重進接 空分多址
空分複用	空間多工 空分複用
窗口	視窗 窗口
端口	埠 端口
筆記本電腦	膝上型電腦 筆記本電腦
算子	運算元 算子
算法	演算法 算法
範式	正規化 範式
粘貼	貼上 粘貼 粘貼
紅心大戰	傷心小棧 紅心大戰
組件	元件 組件
綁定	繫結 綁定
網上鄰居	網路上的芳鄰 網上鄰居
網卡	網絡卡 網卡
網吧	網咖 網吧
網絡	網路 網絡
網關	閘道器 網關
線程	執行緒 線程
編程	程式設計 編程
編程語言	程式語言 編程語言
緩存	快取 緩存
縮略圖	縮圖 縮略圖
縮進	縮排 縮進
總線	匯流排 總線
缺省	預設 缺省
聯繫	聯絡 聯繫
聯繫歷史	通話記錄 聯繫歷史
聲卡	音效卡 聲卡
聲明	宣告 聲明
脫機	離線 脫機
腳本	指令碼 腳本
自動轉屏	自動旋轉螢幕 自動轉屏
臺式機	桌上型電腦 臺式機
航天飛機	太空梭 航天飛機
芯片	晶片 芯片
花屏	破圖 花屏
菜單	選單 菜單 菜單
萬維網	全球資訊網 萬維網
藍屏	藍色畫面 藍屏
藍牙	藍芽 藍牙
虛函數	虛擬函式 虛函數
虛擬機	虛擬機器 虛擬機
虛擬機器	虛擬機器 虛擬機器
表達式	表示式 運算式 表達式
複印	影印 複印
複選按鈕	核取按鈕 複選按鈕
複選框	核取方塊 複選框
視圖	檢視 視圖
視頻	影片 視訊 視頻
視頻會議	視訊會議 視頻會議
視頻通話	視訊通話 視頻通話
解釋器	直譯器 解釋器
觸摸	觸控 觸摸
觸摸屏	觸控式螢幕 觸摸屏
計算機安全	電腦保安 計算機安全
計算機科學	電腦科學 計算機科學
訪問	訪問 存取 訪問
設備	裝置 設備
設置	設定 設置
註冊機	序號產生器 註冊機
註冊表	登錄檔 註冊表
註銷	登出 註銷
調制	調變 調制
調度	排程 調度
調用	呼叫 調用
調色板	調色盤 調色板
調製解調器	數據機 調製解調器
調試	除錯 偵錯 調試
調試器	偵錯程式 調試器
變量	變數 變量
軟件	軟體 軟件
軟驅	軟碟機 軟驅
轉義字符	跳脫字元 轉義字符
通信	通訊 通信
通訊卡	通話卡 通訊卡
通配符	萬用字元 通配符
連接	連線 連接
連接器	聯結器 連接器
進制	進位制 進制
進程	程序 進程 進程
運算符	運算子 運算符
運行	執行 運行
過程式編程	程序式程式設計 過程式編程
遞歸	遞迴 遞歸
遠程	遠端 遠程
適配器	介面卡 適配器
邏輯門	邏輯閘 邏輯門
重命名	重新命名 重命名
重裝	重灌 重裝
重載	過載 重載
金屬氧化物半導體	金氧半導體 金屬氧化物半導體
錄像	錄影 錄像
鏈接	連結 鏈接
鏈表	連結串列 鏈表
鏡像	映象 鏡像
門戶網站	入口網站 門戶網站
門電路	閘電路 門電路
閃存	快閃記憶體 閃存
關係數據庫	關聯式資料庫 關係數據庫
隊列	佇列 隊列
集成	整合 集成
集成電路	積體電路 集成電路
集群	叢集 集群
集羣	叢集 集羣
雲存儲	雲端儲存 雲存儲
雲計算	雲端計算 雲計算
面向對象	物件導向 面向對象
面向過程	程序導向 面向過程
音頻	音訊 音頻
頁眉	頁首 頁眉
頁腳	頁尾 頁腳
項目	專案 項目
預處理器	前處理器 預處理器
頭文件	標頭檔案 頭文件
頻分多址	分頻多重進接 頻分多址
頻分複用	分頻多工 頻分複用
類型	型別 類型
類模板	類别範本 類模板
顯像管	映象管 顯像管
顯卡	顯示卡 顯卡
顯存	視訊記憶體 顯存
飛行模式	飛航模式 飛行模式
首席信息官	資訊長 首席信息官
首席執行官	執行長 首席執行官
首席技術官	技術長 首席技術官
首席運營官	營運長 首席運營官
高性能計算	高效能運算 高性能計算
高清	高畫質 高清
高端	高階 進階 高端
高級	高階 進階 高級 高級
高速緩存	快取記憶體 高速緩存
黑客	駭客 黑客
默認	預設 默認
默認值	預設值 默認值
點擊	點選 點擊
鼠標	滑鼠 鼠標
